Student_ID,IQ,CGPA,Placement
S001,123,7.95,0
S002,136,7.74,0
S003,113,9.63,1
S004,99,9.13,0
S005,127,8.71,1
S006,92,7.82,0
S007,105,8.02,1
S008,123,9.65,1
S009,142,8.11,1
S010,103,6.69,0
S011,107,6.77,0
S012,95,6.21,0
S013,95,5.57,0
S014,108,7.32,0
S015,137,7.2,1
S016,120,6.76,0
S017,124,5.56,0
S018,108,6.36,0
S019,87,8.56,0
S020,106,8.9,0
S021,137,8.11,1
S022,86,9.48,1
S023,108,8.3,0
S024,128,9.43,1
S025,114,9.16,1
S026,122,7.43,0
S027,86,5.91,0
S028,144,7.09,0
S029,105,8.38,0
S030,117,8.36,1
S031,96,8.04,0
S032,142,6.68,0
S033,106,7.91,0
S034,128,7.15,0
S035,109,9.68,1
S036,133,9.15,1
S037,111,8.6,1
S038,143,6.51,0
S039,126,6.6,0
S040,112,5.67,0
S041,144,8.56,1
S042,100,5.98,0
S043,99,7.39,0
S044,131,6.37,0
S045,135,9.35,1
S046,128,7.54,0
S047,139,7.92,0
S048,136,8.49,1
S049,141,6.1,0
S050,87,8.1,0
S051,121,7.82,0
S052,135,6.37,0
S053,91,9.55,1
S054,105,8.08,1
S055,93,8.49,0
S056,123,9.29,1
S057,102,8.18,1
S058,88,6.77,0
S059,109,5.95,0
S060,144,7.46,0
S061,98,6.44,0
S062,134,7.29,1
S063,142,9.3,1
S064,93,6.89,0
S065,110,6.02,0
S066,137,7.03,0
S067,86,9.4,1
S068,104,6.67,0
S069,112,8.29,0
S070,131,5.5,0
S071,144,7.02,1
S072,91,6.81,0
S073,128,6.21,0
S074,92,7.8,0
S075,131,7.58,1
S076,119,8.48,1
S077,98,6.66,0
S078,101,6.55,0
S079,120,6.22,0
S080,134,6.44,0
S081,124,7.9,0
S082,88,7.24,0
S083,86,5.78,0
S084,90,6.59,0
S085,138,6.56,0
S086,126,8.49,0
S087,88,8.56,0
S088,138,6.14,0
S089,113,9.79,1
S090,102,6.65,0
S091,110,9.7,1
S092,128,7.27,0
S093,118,5.64,0
S094,94,6.98,0
S095,120,8.23,0
S096,98,8.43,0
S097,115,7.78,0
S098,132,7.43,0
S099,99,7.88,0
S100,92,8.05,0
